카테고리: 모든 카테고리
"valve steam: (25. 9. 15.~26. 9. 15., 미국)"

TOP
스팀,100
밸브 코퍼레이션,96
밸브,46
스팀 머신,32
수증기,28
Valve,28
Steam Deck,27
기계,13
비디오 게임,12
압력,6
가상 현실,6
게임 컨트롤러,6
밸브 인덱스,6
비디오 게임 콘솔,5
유기 발광 다이오드,5
헤드셋,5
문서화,3
6월,3
가격 결정,3
로이터,2
Reuters,2
오픈AI,2
Steam Deck Oled Uk 휴대용,2
Steam Frame,2
Steam Machine,1

RISING
Steam Deck Oled Uk 휴대용,급등
Steam Frame,급등
Steam Machine,급등
문서화,"+4,350%"
로이터,"+4,350%"
국민보건서비스,"+3,200%"
Reuters,"+2,700%"
스팀 머신,"+2,350%"
6월,"+1,050%"
가격 결정,+850%
오픈AI,+600%
기계,+550%
Valve,+350%

