카테고리: 모든 카테고리
"nintendo switch: (25. 9. 15.~26. 9. 15., 미국)"

TOP
닌텐도 스위치,100
Nintendo,96
닌텐도,60
닌텐도 스위치 2,32
비디오 게임,25
Nintendo of America,13
게임 컨트롤러,6
닌텐도 스위치 라이트,4
유기 발광 다이오드,3
포켓몬스터,2
비디오 게임 콘솔,2
닌텐도 스위치 온라인,2
슈퍼 마리오,2
플레이스테이션 5,2
마리오 카트,2
조이콘,2
젤다의 전설,2
닌텐도 e숍,2
게임스탑,2
친구모아 아파트,1
마리오,1
친구모아 아일랜드 두근두근 라이프,<1
Pokémon Pokopia,<1
포켓몬스터 파이어레드·리프그린,<1

RISING
Pokémon Pokopia,급등
친구모아 아일랜드 두근두근 라이프,급등
마리오,"+3,450%"
포켓몬스터 파이어레드·리프그린,"+1,450%"
친구모아 아파트,+800%
닌텐도,+250%
Nintendo of America,+80%
젤다의 전설,+50%
포켓몬스터,+40%

